feature,importance_xgb,importance_lgbm,importance_total
K=16 KNN_mean,0.22745077,0.0847953216374269,0.3122460947573533
K=16 KNN_std,0.0077755977,0.08333333333333333,0.09110893107329805
coe_price,0.007158655,0.06652046783625731,0.07367912304386148
floor_area_sqm,0.013868636,0.06359649122807018,0.07746512767973177
date_mean,0.008139598,0.05579922027290448,0.06393881845623836
lease_commence_date_std,0.010860137,0.05165692007797271,0.06251705678808003
flat_type_mean,0.058755957,0.04410331384015594,0.10285927043033158
latitude,0.008783103,0.037037037037037035,0.04582014000388207
flat_type_std,0.13510452,0.034600389863547756,0.16970491197257942
longitude,0.0047842283,0.0341130604288499,0.038897288709036554
lease_commence_date_mean,0.008073954,0.033625730994152045,0.04169968490581415
date_std,0.0069674444,0.03192007797270955,0.03888752241119684
K=32 KNN_std,0.004239653,0.02412280701754386,0.02836245978904659
K=32 KNN_mean,0.013403421,0.023391812865497075,0.03679523413336416
K=24 KNN_mean,0.17382306,0.023391812865497075,0.19721487147069117
flat_model_std,0.004622651,0.02266081871345029,0.02728346951186047
K=24 KNN_std,0.0055140494,0.021198830409356724,0.026712879846253763
K=64 KNN_std,0.003916415,0.017300194931773878,0.02121660985201452
street_name_std,0.0029794732,0.016812865497076022,0.019792338707947242
K=96 KNN_std,0.0034277905,0.015594541910331383,0.019022332388203278
K=128 KNN_std,0.0027455378,0.015350877192982455,0.018096414978795668
town_std,0.007935156,0.015107212475633527,0.02304236859003296
subzone_mean,0.0027089177,0.014619883040935672,0.017328800757453716
block_std,0.0072527253,0.014619883040935672,0.021872608347834027
flat_model_mean,0.008604503,0.014376218323586744,0.02298072156029777
block_mean,0.011857387,0.013401559454191032,0.025258946132648293
street_name_mean,0.0033105211,0.012914230019493177,0.016224751152737214
K=80 KNN_std,0.0027385165,0.012670565302144249,0.015409081847067435
town_mean,0.003967554,0.012183235867446393,0.01615078971025917
K=64 KNN_mean,0.0040756497,0.011208576998050682,0.015284226658131353
cluster_mean,0.005268825,0.010721247563352826,0.0159900727814343
cluster_std,0.015918601,0.010721247563352826,0.026639848867645505
K=96 KNN_mean,0.003084498,0.008771929824561403,0.011856427816510723
K=128 KNN_mean,0.0028719557,0.008771929824561403,0.011643885569483564
subzone_std,0.003430421,0.007553606237816764,0.01098402723630066
planning_area_std,0.005932938,0.007553606237816764,0.013486544079679204
K=80 KNN_mean,0.0035487425,0.007309941520467836,0.010858684025258261
flat_type2_mean,0.034452148,0.005360623781676413,0.03981277156352532
region_mean,0.0057921163,0.003654970760233918,0.00944708704087905
planning_area_mean,0.005642827,0.00341130604288499,0.00905413317746441
region_std,0.0071141124,0.0026803118908382065,0.009794424268004955
flat_type2_std,0.1420972,0.0014619883040935672,0.14355919322772331
