feature,importance_xgb,importance_lgbm,importance_total
longitude,0.020503389,0.06639150943396227,0.08689489815173285
K=128 KNN_std,0.012463861,0.06626179245283019,0.07872565359790933
latitude,0.034368046,0.0642374213836478,0.09860546701171863
K=16 KNN_std,0.013610658,0.0607311320754717,0.07434179031131966
floor_area_sqm,0.11964692,0.05813679245283019,0.17778371420671354
K=32 KNN_std,0.012576338,0.05520047169811321,0.06777680960185123
K=24 KNN_std,0.012409563,0.055,0.0674095631763339
K=96 KNN_std,0.01216966,0.054638364779874216,0.06680802484892262
K=64 KNN_std,0.011733727,0.05441430817610063,0.06614803477442302
street_name_std,0.016970463,0.05250393081761006,0.06947439391470556
coe_price,0.014790395,0.05189858490566038,0.06668898018041872
K=80 KNN_std,0.01155671,0.05153301886792453,0.06308972898448975
lease_commence_date_std,0.038481534,0.05099056603773585,0.08947209956511012
subzone_std,0.021629622,0.049355345911949684,0.07098496811804156
date_std,0.0133391125,0.047547169811320754,0.06088628232408807
flat_type_std,0.14165086,0.030051100628930818,0.17170195617016007
flat_model_std,0.05917613,0.024512578616352202,0.08368870697400105
town_std,0.0422108,0.02335691823899371,0.06556771694957836
planning_area_std,0.037157,0.02171383647798742,0.05887083558916296
cluster_std,0.046576366,0.020023584905660377,0.06659995073417448
flat_type2_std,0.2490382,0.016800314465408805,0.2658385190161519
block_std,0.01500266,0.01518867924528302,0.03019133969860257
region_std,0.042937975,0.009512578616352201,0.052450553993196605
