feature,importance_xgb,importance_lgbm,importance_total
coe_price,0.0052592913,0.05418556701030928,0.059444858279194414
longitude,0.0051300344,0.05327835051546392,0.05840838492120203
K=16 KNN_std,0.0049306825,0.05303092783505155,0.05796161031538678
latitude,0.01675503,0.05278350515463918,0.06953853471377461
floor_area_sqm,0.03444251,0.050639175257731955,0.08508168571357874
date_std,0.0055561773,0.048329896907216494,0.05388607425511498
K=24 KNN_std,0.0043859696,0.04651546391752577,0.05090143351909733
street_name_median,0.04254302,0.046103092783505155,0.08864611288290664
lease_commence_date_std,0.012181434,0.039835051546391755,0.05201648539542845
K=64 KNN_std,0.004029437,0.03934020618556701,0.04336964315383397
K=80 KNN_std,0.0036600397,0.038680412371134024,0.042340452114542584
K=32 KNN_std,0.00397144,0.03843298969072165,0.04240442947697701
street_name_std,0.0048101414,0.03777319587628866,0.042583337275791416
lease_commence_date_median,0.01632029,0.03661855670103093,0.05293884674498101
K=128 KNN_std,0.0033372054,0.03579381443298969,0.03913101982064161
K=96 KNN_std,0.0032170266,0.035216494845360824,0.03843352143666179
subzone_median,0.021924343,0.0351340206185567,0.05705836357867595
block_median,0.014785515,0.02993814432989691,0.04472365947436426
date_median,0.006432227,0.02845360824742268,0.03488583510645579
subzone_std,0.0049945917,0.027876288659793816,0.032870880357844315
flat_type_median,0.10705851,0.020371134020618558,0.12742964420490657
flat_type_std,0.10714892,0.01888659793814433,0.12603552091797604
town_median,0.014180574,0.01624742268041237,0.030427996315215665
flat_model_std,0.0073568462,0.014597938144329897,0.021954784383747688
flat_model_median,0.01993357,0.014515463917525773,0.03444903409388876
block_std,0.0041195005,0.013938144329896908,0.018057644847742062
town_std,0.03385943,0.011958762886597939,0.045818194630219765
cluster_std,0.039789908,0.011711340206185568,0.05150124784044384
flat_type2_std,0.20681573,0.009731958762886598,0.21654769326853998
planning_area_std,0.022857849,0.009484536082474227,0.03234238463732385
planning_area_median,0.015317196,0.009319587628865979,0.024636783655310412
cluster_median,0.013329457,0.006432989690721649,0.01976244625103535
flat_type2_median,0.12229968,0.006103092783505155,0.12840277140718145
region_std,0.038828153,0.004618556701030928,0.04344670986422559
region_median,0.028438235,0.004123711340206186,0.03256194604195885
