feature,importance_xgb,importance_lgbm,importance_total
longitude,0.019894183,0.07529043461246851,0.09518461729450586
latitude,0.031386204,0.07077555213148433,0.1021617561953767
K=16 KNN_std,0.013614654,0.06592315405874728,0.07953780766844033
K=128 KNN_std,0.014235036,0.06256267273216426,0.0767977091798085
coe_price,0.013776962,0.06068921662142001,0.07446617833544933
date_std,0.014822942,0.058977181011079315,0.07380012321585275
K=24 KNN_std,0.012450236,0.0575195049771321,0.06996974087294461
K=64 KNN_std,0.011571245,0.056105852716022205,0.06767709798400945
floor_area_sqm,0.08371321,0.0548976447281532,0.13861085584732816
K=32 KNN_std,0.012461928,0.05437914251473574,0.06684107023414998
K=96 KNN_std,0.011919969,0.05194316041773669,0.06386312917924039
street_name_std,0.017597288,0.05052461662631154,0.06812190451960683
lease_commence_date_std,0.039760713,0.050456135201897914,0.09021684773608714
K=80 KNN_std,0.011696899,0.04947782913884609,0.06117472844860046
subzone_std,0.024241595,0.044889573703133026,0.06913116830083028
flat_type_std,0.15936807,0.028258370631251986,0.1876264386110646
flat_model_std,0.047766805,0.02195318805488297,0.06971999275001237
town_std,0.04657014,0.02099444811309218,0.06756458898151754
cluster_std,0.053311925,0.015858341282070094,0.06917026666349213
planning_area_std,0.05088883,0.015144177856042263,0.06603300678928124
flat_type2_std,0.23503363,0.014997431946584488,0.25003106327135255
block_std,0.015791794,0.01116736370973659,0.026959157994914773
region_std,0.058125768,0.007215007215007215,0.06534077507184353
